sequence_index,timestamp,processId,threadId,parentProcessId,userId,mountNamespace,processName,hostName,eventId,eventName,stackAddresses,argsNum,returnValue,args,sus,evil,reconstruction_error,priority
1364,461.038215,7555,7590,7548,1001,4026531840,thread-pool-34,ip-10-100-1-217,157,prctl,[],5,0,"[{'name': 'option', 'type': 'int', 'value': 'PR_SET_NAME'}, {'name': 'arg2', 'type': 'unsigned long', 'value': 139922159459920}, {'name': 'arg3', 'type': 'unsigned long', 'value': 139922159459934}, {'name': 'arg4', 'type': 'unsigned long', 'value': 139922445896794}, {'name': 'arg5', 'type': 'unsigned long', 'value': 0}]",1,1,80.77398642036931,CRITICAL
1369,461.058079,7555,7652,7548,1001,4026531840,thread-pool-96,ip-10-100-1-217,157,prctl,[],5,0,"[{'name': 'option', 'type': 'int', 'value': 'PR_SET_NAME'}, {'name': 'arg2', 'type': 'unsigned long', 'value': 139921639112272}, {'name': 'arg3', 'type': 'unsigned long', 'value': 139921639112286}, {'name': 'arg4', 'type': 'unsigned long', 'value': 139922445896794}, {'name': 'arg5', 'type': 'unsigned long', 'value': 0}]",1,1,80.39765480730036,CRITICAL
1365,461.039905,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,56,clone,[],5,7615,"[{'name': 'flags', 'type': 'unsigned int', 'value': 'CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID'}, {'name': 'stack', 'type': 'void*', 'value': '0x7F421E1ACFB0'}, {'name': 'parent_tid', 'type': 'int*', 'value': '0x7F421E1AD9D0'}, {'name': 'child_tid', 'type': 'int*', 'value': '0x7F423BAF03E1'}, {'name': 'tls', 'type': 'unsigned long', 'value': 139921949644544}]",1,1,77.9865951371606,CRITICAL
1361,461.023563,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,5,fstat,[],2,0,"[{'name': 'fd', 'type': 'int', 'value': 3}, {'name': 'statbuf', 'type': 'struct stat*', 'value': '0x7FFD519E4260'}]",1,1,70.67271214063905,CRITICAL
1370,461.059898,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,56,clone,[],5,7677,"[{'name': 'flags', 'type': 'unsigned int', 'value': 'CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID'}, {'name': 'stack', 'type': 'void*', 'value': '0x7F41FF16EFB0'}, {'name': 'parent_tid', 'type': 'int*', 'value': '0x7F41FF16F9D0'}, {'name': 'child_tid', 'type': 'int*', 'value': '0x7F423BAF03E1'}, {'name': 'tls', 'type': 'unsigned long', 'value': 139921429296896}]",1,1,56.593299577673356,CRITICAL
1360,461.022522,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,3,close,[140346854185351],1,0,"[{'name': 'fd', 'type': 'int', 'value': 255}]",1,1,45.90722355858358,CRITICAL
1363,461.034917,7555,7566,7548,1001,4026531840,thread-pool-10,ip-10-100-1-217,157,prctl,[],5,0,"[{'name': 'option', 'type': 'int', 'value': 'PR_SET_NAME'}, {'name': 'arg2', 'type': 'unsigned long', 'value': 139922360884816}, {'name': 'arg3', 'type': 'unsigned long', 'value': 139922360884830}, {'name': 'arg4', 'type': 'unsigned long', 'value': 139922445896794}, {'name': 'arg5', 'type': 'unsigned long', 'value': 0}]",1,1,41.414517555192674,CRITICAL
1368,461.054128,7555,7627,7548,1001,4026531840,thread-pool-71,ip-10-100-1-217,157,prctl,[],5,0,"[{'name': 'option', 'type': 'int', 'value': 'PR_SET_NAME'}, {'name': 'arg2', 'type': 'unsigned long', 'value': 139921848929872}, {'name': 'arg3', 'type': 'unsigned long', 'value': 139921848929886}, {'name': 'arg4', 'type': 'unsigned long', 'value': 139922445896794}, {'name': 'arg5', 'type': 'unsigned long', 'value': 0}]",1,1,40.37304266356023,CRITICAL
1366,461.041399,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,56,clone,[],5,7640,"[{'name': 'flags', 'type': 'unsigned int', 'value': 'CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID'}, {'name': 'stack', 'type': 'void*', 'value': '0x7F4211993FB0'}, {'name': 'parent_tid', 'type': 'int*', 'value': '0x7F42119949D0'}, {'name': 'child_tid', 'type': 'int*', 'value': '0x7F423BAF03E1'}, {'name': 'tls', 'type': 'unsigned long', 'value': 139921739826944}]",1,1,38.63186050757283,CRITICAL
1362,461.025554,7555,7555,7548,1001,4026531840,tsm,ip-10-100-1-217,56,clone,[],5,7579,"[{'name': 'flags', 'type': 'unsigned int', 'value': 'CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID'}, {'name': 'stack', 'type': 'void*', 'value': '0x7F42301D0FB0'}, {'name': 'parent_tid', 'type': 'int*', 'value': '0x7F42301D19D0'}, {'name': 'child_tid', 'type': 'int*', 'value': '0x7F423BAF03E1'}, {'name': 'tls', 'type': 'unsigned long', 'value': 139922251781888}]",1,1,35.03124331317026,CRITICAL
1265,457.435922,7534,7534,7527,1001,4026531840,bash,ip-10-100-1-217,21,access,[],2,0,"[{'name': 'pathname', 'type': 'const char*', 'value': '/usr/bin/bash'}, {'name': 'mode', 'type': 'int', 'value': 'R_OK'}]",1,1,21.466145192891435,CRITICAL
1080,414.425247,7399,7399,7307,1001,4026531840,sshd,ip-10-100-1-217,56,clone,[],5,7411,"[{'name': 'flags', 'type': 'unsigned int', 'value': 'CLONE_CHILD_CLEARTID|CLONE_CHILD_SETTID'}, {'name': 'stack', 'type': 'void*', 'value': '0x0'}, {'name': 'parent_tid', 'type': 'int*', 'value': '0x0'}, {'name': 'child_tid', 'type': 'int*', 'value': '0x7F0CEF84E0BF'}, {'name': 'tls', 'type': 'unsigned long', 'value': 0}]",1,1,21.24223908134927,CRITICAL
